code,unit,statisticalUnit,description
ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
KS101EW0001,Count,Person,All categories: Sex
KS101EW0002,Count,Person,Males
KS101EW0003,Count,Person,Females
KS101EW0004,Count,Person,Lives in a household
KS101EW0005,Count,Person,Lives in a communal establishment
KS101EW0006,Count,Person,Schoolchild or full-time student aged 4 and over at their non term-time address
KS101EW0007,Sum,Area (Hectares),Area hectares
KS101EW0008,Ratio,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Density (number of persons per hectare)
KS101EW0009,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Males
KS101EW0010,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Females
KS101EW0011,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Lives in a household
KS101EW0012,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Lives in a communal establishment
KS102EW0001,Count,Person,All categories: Age
KS102EW0002,Count,Person,Age 0 to 4
KS102EW0003,Count,Person,Age 5 to 7
KS102EW0004,Count,Person,Age 8 to 9
KS102EW0005,Count,Person,Age 10 to 14
KS102EW0006,Count,Person,Age 15
KS102EW0007,Count,Person,Age 16 to 17
KS102EW0008,Count,Person,Age 18 to 19
KS102EW0009,Count,Person,Age 20 to 24
KS102EW0010,Count,Person,Age 25 to 29
KS102EW0011,Count,Person,Age 30 to 44
KS102EW0012,Count,Person,Age 45 to 59
KS102EW0013,Count,Person,Age 60 to 64
KS102EW0014,Count,Person,Age 65 to 74
KS102EW0015,Count,Person,Age 75 to 84
KS102EW0016,Count,Person,Age 85 to 89
KS102EW0017,Count,Person,Age 90 and over
KS102EW0018,Years,Person,Mean age
KS102EW0019,Years,Person,Median age
KS102EW0020,Percentage,Person,Age 0 to 4
KS102EW0021,Percentage,Person,Age 5 to 7
KS102EW0022,Percentage,Person,Age 8 to 9
KS102EW0023,Percentage,Person,Age 10 to 14
KS102EW0024,Percentage,Person,Age 15
KS102EW0025,Percentage,Person,Age 16 to 17
KS102EW0026,Percentage,Person,Age 18 to 19
KS102EW0027,Percentage,Person,Age 20 to 24
KS102EW0028,Percentage,Person,Age 25 to 29
KS102EW0029,Percentage,Person,Age 30 to 44
KS102EW0030,Percentage,Person,Age 45 to 59
KS102EW0031,Percentage,Person,Age 60 to 64
KS102EW0032,Percentage,Person,Age 65 to 74
KS102EW0033,Percentage,Person,Age 75 to 84
KS102EW0034,Percentage,Person,Age 85 to 89
KS102EW0035,Percentage,Person,Age 90 and over
KS103EW0001,Count,Person,All categories: Marital and civil partnership status
KS103EW0002,Count,Person,Single (never married or never registered a same-sex civil partnership)
KS103EW0003,Count,Person,Married
KS103EW0004,Count,Person,In a registered same-sex civil partnership
KS103EW0005,Count,Person,Separated (but still legally married or still legally in a same-sex civil partnership)
KS103EW0006,Count,Person,Divorced or formerly in a same-sex civil partnership which is now legally dissolved
KS103EW0007,Count,Person,Widowed or surviving partner from a same-sex civil partnership
KS103EW0008,Percentage,Person,Single (never married or never registered a same-sex civil partnership)
KS103EW0009,Percentage,Person,Married
